Product URL,Title,Price,Image URL
https://www.flipkart.com/cetaphil-optimal-hydration-activation-serum/p/itm4216941a78f8c?pid=MSCGSMXDPAAKCGP2&lid=LSTMSCGSMXDPAAKCGP2VLPNOT&marketplace=FLIPKART&q=moisturizer&store=g9b%2Fema%2F5la%2F1ke&srno=s_2_55&otracker=AS_QueryStore_OrganicAutoSuggest_2_7_na_na_na&otracker1=AS_QueryStore_OrganicAutoSuggest_2_7_na_na_na&fm=organic&iid=6ed79fb2-5c0e-42e3-b242-2875fe734b15.MSCGSMXDPAAKCGP2.SEARCH&ppt=None&ppn=None&ssid=blw6th6h5c0000001744465346395&qH=acc9cfaf85944a73,Cetaphil Optimal Hydration Activation Serum  (30 ml),₹722,https://rukminim2.flixcart.com/image/416/416/xif0q/moisturizer-cream/q/i/g/-original-imagt4penzzc2hj7.jpeg?q=70&crop=false
https://www.flipkart.com/cetaphil-optimal-hydration-daily-cream/p/itmacd09c9b2574b?pid=MSCGSMXDETVYRCQC&lid=LSTMSCGSMXDETVYRCQC1NHIMJ&marketplace=FLIPKART&q=moisturizer&store=g9b%2Fema%2F5la%2F1ke&srno=s_2_54&otracker=AS_QueryStore_OrganicAutoSuggest_2_7_na_na_na&otracker1=AS_QueryStore_OrganicAutoSuggest_2_7_na_na_na&fm=organic&iid=6ed79fb2-5c0e-42e3-b242-2875fe734b15.MSCGSMXDETVYRCQC.SEARCH&ppt=None&ppn=None&ssid=blw6th6h5c0000001744465346395&qH=acc9cfaf85944a73,Cetaphil Optimal Hydration Daily Cream  (50 g),"₹1,105",https://rukminim2.flixcart.com/image/416/416/xif0q/moisturizer-cream/d/h/m/-original-imagt4pep3ngzhhs.jpeg?q=70&crop=false
https://www.flipkart.com/minimalist-0-3-ceramide-barrier-repair-moisturizing-cream-oily-skin-madecassoside-oil-free/p/itm7a9dd05629ce6?pid=MSCGA3BF9Q2AT6D6&lid=LSTMSCGA3BF9Q2AT6D6LJUKWE&marketplace=FLIPKART&q=moisturizer&store=g9b%2Fema%2F5la%2F1ke&srno=s_2_53&otracker=AS_QueryStore_OrganicAutoSuggest_2_7_na_na_na&otracker1=AS_QueryStore_OrganicAutoSuggest_2_7_na_na_na&fm=organic&iid=6ed79fb2-5c0e-42e3-b242-2875fe734b15.MSCGA3BF9Q2AT6D6.SEARCH&ppt=None&ppn=None&ssid=blw6th6h5c0000001744465346395&qH=acc9cfaf85944a73,Minimalist 0.3% Ceramide Barrier Repair Moisturizing Cream for Oily skin with Madecassoside (Oil-free)  (50 g),₹569,https://rukminim2.flixcart.com/image/416/416/xif0q/moisturizer-cream/1/n/g/30-0-3-ceramide-barrier-repair-moisturizing-cream-for-oily-skin-original-imagy2ky22txeubx.jpeg?q=70&crop=false
https://www.flipkart.com/cetaphil-moisturising-lotion-250ml/p/itm37edaceb5a6c3?pid=MSCGHQZEGZSFHE9P&lid=LSTMSCGHQZEGZSFHE9PZDQY2O&marketplace=FLIPKART&q=moisturizer&store=g9b%2Fema%2F5la%2F1ke&srno=s_2_52&otracker=AS_QueryStore_OrganicAutoSuggest_2_7_na_na_na&otracker1=AS_QueryStore_OrganicAutoSuggest_2_7_na_na_na&fm=organic&iid=6ed79fb2-5c0e-42e3-b242-2875fe734b15.MSCGHQZEGZSFHE9P.SEARCH&ppt=None&ppn=None&ssid=blw6th6h5c0000001744465346395&qH=acc9cfaf85944a73,Cetaphil Moisturising Lotion 250ml  (250 ml),"₹1,054",https://rukminim2.flixcart.com/image/416/416/xif0q/moisturizer-cream/r/q/b/-original-imah33nsbtuyxjwy.jpeg?q=70&crop=false
https://www.flipkart.com/minimalist-nourishing-baby-lotion-ceramide-squalane-pediatrics-approved/p/itmb76beefd72c7b?pid=BSTH2HJGSYHPFVMP&lid=LSTBSTH2HJGSYHPFVMPVEA3VT&marketplace=FLIPKART&q=moisturizer&store=g9b%2Fema%2F5la%2F1ke&srno=s_2_51&otracker=AS_QueryStore_OrganicAutoSuggest_2_7_na_na_na&otracker1=AS_QueryStore_OrganicAutoSuggest_2_7_na_na_na&fm=organic&iid=6ed79fb2-5c0e-42e3-b242-2875fe734b15.BSTH2HJGSYHPFVMP.SEARCH&ppt=None&ppn=None&ssid=blw6th6h5c0000001744465346395&qH=acc9cfaf85944a73,Minimalist Nourishing Baby Lotion with Ceramide & Squalane | Pediatrics Approved  (300 g),₹899,https://rukminim2.flixcart.com/image/416/416/xif0q/body-skin-treatment/p/8/k/300-nourishing-baby-lotion-with-ceramide-squalane-pediatrics-original-imah2hjgtzukspnu.jpeg?q=70&crop=false
https://www.flipkart.com/derma-co-5-vitamin-c-oil-free-daily-face-moisturizer-skin-radiance/p/itm306d75423ec27?pid=MSCGJ9A5NHBD3SYH&lid=LSTMSCGJ9A5NHBD3SYHHEJFQ1&marketplace=FLIPKART&q=moisturizer&store=g9b%2Fema%2F5la%2F1ke&srno=s_2_50&otracker=AS_QueryStore_OrganicAutoSuggest_2_7_na_na_na&otracker1=AS_QueryStore_OrganicAutoSuggest_2_7_na_na_na&fm=organic&iid=6ed79fb2-5c0e-42e3-b242-2875fe734b15.MSCGJ9A5NHBD3SYH.SEARCH&ppt=None&ppn=None&ssid=blw6th6h5c0000001744465346395&qH=acc9cfaf85944a73,The Derma Co 5% Vitamin C Oil-Free Daily Face Moisturizer for Skin Radiance  (100 g),₹279,https://rukminim2.flixcart.com/image/416/416/xif0q/moisturizer-cream/o/r/z/-original-imagpuw9dhfwxnpy.jpeg?q=70&crop=false
https://www.flipkart.com/cetaphil-moisturising-cream-450gm/p/itm677c56c450d06?pid=MSCH2YQYHUNTGGKC&lid=LSTMSCH2YQYHUNTGGKCYTKGWJ&marketplace=FLIPKART&q=moisturizer&store=g9b%2Fema%2F5la%2F1ke&srno=s_2_49&otracker=AS_QueryStore_OrganicAutoSuggest_2_7_na_na_na&otracker1=AS_QueryStore_OrganicAutoSuggest_2_7_na_na_na&fm=organic&iid=6ed79fb2-5c0e-42e3-b242-2875fe734b15.MSCH2YQYHUNTGGKC.SEARCH&ppt=None&ppn=None&ssid=blw6th6h5c0000001744465346395&qH=acc9cfaf85944a73,Cetaphil Moisturising Cream 450gm  (450 g),"₹1,619",https://rukminim2.flixcart.com/image/416/416/xif0q/moisturizer-cream/h/x/d/-original-imah2jmqmfxxrgt7.jpeg?q=70&crop=false
https://www.flipkart.com/cetaphil-optimal-hydration-replenishing-night-cream/p/itm10da57565f6ad?pid=MSCGSMXDHZHWMNSG&lid=LSTMSCGSMXDHZHWMNSGZRK378&marketplace=FLIPKART&q=moisturizer&store=g9b%2Fema%2F5la%2F1ke&srno=s_2_48&otracker=AS_QueryStore_OrganicAutoSuggest_2_7_na_na_na&otracker1=AS_QueryStore_OrganicAutoSuggest_2_7_na_na_na&fm=organic&iid=6ed79fb2-5c0e-42e3-b242-2875fe734b15.MSCGSMXDHZHWMNSG.SEARCH&ppt=None&ppn=None&ssid=blw6th6h5c0000001744465346395&qH=acc9cfaf85944a73,Cetaphil Optimal Hydration Replenishing Night Cream  (50 g),₹936,https://rukminim2.flixcart.com/image/416/416/xif0q/moisturizer-cream/g/s/8/-original-imagt4pggugh5kvj.jpeg?q=70&crop=false
https://www.flipkart.com/cetaphil-moisturising-lotion-500ml/p/itmf58956eabaef4?pid=MSCGHQZEHG7DF5ZX&lid=LSTMSCGHQZEHG7DF5ZXQNVN67&marketplace=FLIPKART&q=moisturizer&store=g9b%2Fema%2F5la%2F1ke&srno=s_2_47&otracker=AS_QueryStore_OrganicAutoSuggest_2_7_na_na_na&otracker1=AS_QueryStore_OrganicAutoSuggest_2_7_na_na_na&fm=organic&iid=6ed79fb2-5c0e-42e3-b242-2875fe734b15.MSCGHQZEHG7DF5ZX.SEARCH&ppt=None&ppn=None&ssid=blw6th6h5c0000001744465346395&qH=acc9cfaf85944a73,Cetaphil Moisturising Lotion 500ml  (500 ml),"₹1,484",https://rukminim2.flixcart.com/image/416/416/xif0q/moisturizer-cream/w/w/h/-original-imagq43jjdvumerp.jpeg?q=70&crop=false
https://www.flipkart.com/cetaphil-baby-daily-lotion-organic-calendula-face-body/p/itmfgjc8zg2bfw8h?pid=MSCFGJYEY4CFHMA5&lid=LSTMSCFGJYEY4CFHMA5AW8SDK&marketplace=FLIPKART&q=moisturizer&store=g9b%2Fema%2F5la%2F1ke&srno=s_2_46&otracker=AS_QueryStore_OrganicAutoSuggest_2_7_na_na_na&otracker1=AS_QueryStore_OrganicAutoSuggest_2_7_na_na_na&fm=organic&iid=6ed79fb2-5c0e-42e3-b242-2875fe734b15.MSCFGJYEY4CFHMA5.SEARCH&ppt=None&ppn=None&ssid=blw6th6h5c0000001744465346395&qH=acc9cfaf85944a73,Cetaphil BABY DAILY LOTION WITH ORGANIC CALENDULA FACE AND BODY  (400 ml),"₹1,486",https://rukminim2.flixcart.com/image/416/416/xif0q/moisturizer-cream/v/1/c/-original-imah2e7znbfa8dmh.jpeg?q=70&crop=false
